descriere,pretAchizitie,pretVanzare,manopera
"Corp de iluminat cu LED tip stradal, 70W, IP65, IK08",50.00,62.50,25.00,87
"Stalp de iluminat metalic din otel zincat , H=8 m, amplasat la 30 m distanță între ei prevazut cu panou fotovoltaic 100W, controller si acumulator cu gel","1,250.00","1,562.50","250.00","86"
"Piesa de separatie montata in cutie de protectie la 0.5m de sol",20.00,25.00,15.00,87
"Electrod din OLZn tip cruce 50x50x3mm, l=1.50m montat ingropat la 0.8m adâncime fata de cota terenului, la 3.00m distanta unul de altul",30.00,37.50,20.00,88
"Platbanda 40x4mm montata la 0.8m adâncime",1.80,2.25,4.00,89
"Cablu cupru armat tip CYAbY 5x2.5 mmp",1.72,2.15,1.50,91
"Cablu cupru armat tip CYAbY 3x2.5 mmp",1.07,1.34,1.20,92
"Cablu cupru  tip CYYF 3x1.5 mmp",0.52,0.65,1.20,93
"Tub de protectie PVCG 63mm",1.50,1.88,1.00
"Banda avertizare",0.50,0.63,0.50
"Etanșări antifoc pentru treceri de cabluri, tuburi de protecție etc.",350.00,437.50,500.00
"Etichetare și testare cabluri",50.00,62.50,200.00
"Materiale mărunte",40.00,50.00,50.00
"Cablu tip CYYF 0.6/1kV 3x1,5mmp",0.52,0.65,1.20
"Cablu tip CYYF 0.6/1kV 3x2,5mmp",0.90,1.13,1.20
"Cablu tip NHXH FE180/E90 3x2,5mmp",1.44,1.80,1.20
"Priză simplă, 230V, 16A, IP54, cu CP, montaj aparent",6.00,7.50,10.00
"Întrerupător, 230V, 10A,  IP54, montaj aparent",7.00,8.75,10.00
"Doză de conexiuni cu capac IP20 100x100x50mm",3.00,3.75,5.00
"Corp de iluminat, cu modul LED 30W, IP65, montat aparent",32.50,40.63,15.00
"Corp de iluminat, cu modul LED 40W, IP65, montat aparent",35.00,43.75,15.00
"Corp de iluminat, cu modul LED 20W, IP65, montat aparent",30.00,37.50,12.00
"Corp de iluminat LED, montat aparent, respectiv suspendat, inscripționat, pentru marcare căi de evacuare, tip permanent, IP42, cu autonomie de minim 1h, montat aparent",29.00,36.25,12.00
"Platbanda OLZn 40x4mm",1.80,2.25,4.00
"Platbanda OLZn 25x4mm",1.60,2.00,3.00
"Conductor din Al de 8 mmp, coborare de la PDA",2.00,2.50,2.00
"Bara de egalizare potential",40.00,50.00,20.00
"Piesa de separatie cu eclisa montaj aparent pe perete",20.00,25.00,15.00
